0000  code0332        
0002  code0331        31, 256
0010  code043c        0, 1
001E  code043c        1, 1
002C  code043c        5, 3
003A  code043c        4, 2
0048  code043c        6, 3
0056  code040d        30
005E  code0478        0, 11
006C  code0479        0, 0, 12
0080  code047d        0, 109
008E  code0478        1, 9
009C  code0479        1, 0, 12
00B0  code047d        1, 108
00BE  call            0x2a8c
00C2  call            0x29f4
00C6  dialogtxt       "みんな、大丈夫かい？"
00DE  code047b        
00E0  code0309        
00E2  call            0x2a48
00E6  code0479        0, 2, 12
00FA  call            0x29a6
00FE  dialogtxt       "もちろん！"
010C  code0309        
010E  call            0x2ae2
0112  call            0x29c4
0116  code047b        
0118  code0478        1, 0
0126  code0479        1, 2, 14
013A  code047d        1, 0
0148  code0478        0, 6
0156  code0479        0, 0, 16
016A  code047d        0, 107
0178  call            0x2a8c
017C  call            0x29f4
0180  dialogtxt       "ミューノは？"
0190  dialogtxt       "ケガはない？"
01A0  code047b        
01A2  code0309        
01A4  call            0x2a48
01A8  code0479        0, 0, 12
01BC  call            0x29a6
01C0  dialogtxt       "大丈夫よ"
01CC  dialogtxt       "ありがとう"
01DA  code0309        
01DC  call            0x29dc
01E0  code0479        1, 1, 12
01F4  call            0x2a12
01F8  dialogtxt       "よかった"
0204  code0309        
0206  call            0x2ae2
020A  call            0x2a30
020E  code047b        
0210  code0478        1, 2
021E  jumpz           0x0246, ($b003 == 0)
022E  code0479        1, 1, 12
0242  goto            0x02ae

0246  jumpz           0x026e, ($b003 == 1)
0256  code0479        1, 1, 12
026A  goto            0x02ae

026E  jumpz           0x0296, ($b003 == 2)
027E  code0479        1, 0, 13
0292  goto            0x02ae

0296  code0479        1, 1, 12
02AA  goto            0x02ae

02AE  code047d        1, 2
02BC  call            0x2a76
02C0  call            0x29f4
02C4  jumpz           0x02de, ($b003 == 0)
02D4  dialogtxt       "…"
02DA  goto            0x02de

02DE  jumpz           0x0308, ($b003 == 1)
02EE  dialogtxt       "これで一段落じゃな"
0304  goto            0x0308

0308  jumpz           0x0342, ($b003 == 2)
0318  dialogtxt       "まったく…"
0326  dialogtxt       "手間のかかるヤツらだ"
033E  goto            0x0342

0342  jumpz           0x0372, ($b003 == 3)
0352  dialogtxt       "よかったですわ"
0364  dialogtxt       "本当に"
036E  goto            0x0372

0372  code047b        
0374  code0309        
0376  call            0x2acc
037A  call            0x2a30
037E  code047b        
0380  code047d        0, 120
038E  code0301        8, 7
039C  code047e        0, 1
03AA  dialogtxt       "戦いの音が聞こえてきたのは"
03C8  dialogtxt       "このあたりだぞ！"
03DC  code0309        
03DE  code047e        0, 0
03EC  code0302        7
03F4  code043c        6, 1
0402  code043c        5, 1
0410  code043c        4, 1
041E  code0445        0, 11
042C  code0445        1, 3
043A  code0445        6, 3
0448  code0445        4, 3
0456  code0445        5, 11
0464  code0438        7, 230, 555, 1
047E  code043a        7, 7, 0
0492  code043d        7, 160, 304
04A6  code043e        7, 6, 0
04BA  walkto          7, 160, 178, 1
04D4  code040d        40
04DC  code0438        8, 391, 645, 1
04F6  code043a        8, 8, 0
050A  code043d        8, 160, 304
051E  code043e        8, 6, 0
0532  walkto          8, 160, 220, 1
054C  code040d        20
0554  code043a        9, 8, 0
0568  code043d        9, 160, 304
057C  code043e        9, 6, 0
0590  walkto          9, 160, 220, 1
05AA  walkwait        7
05B2  code043e        7, 3, 0
05C6  code043c        7, 4
05D4  code043c        6, 2
05E2  code043c        5, 2
05F0  code043c        4, 2
05FE  walkwait        8
0606  walkto          8, 136, 196, 1
0620  walkwait        9
0628  walkto          9, 152, 208, 1
0642  walkwait        9
064A  code043e        9, 3, 0
065E  walkwait        8
0666  code043e        8, 3, 0
067A  code043c        8, 4
0688  code0478        0, 10
0696  code0479        0, 2, 14
06AA  code047d        0, 132
06B8  call            0x2a60
06BC  call            0x2988
06C0  dialogtxt       "あ！　お前たち気をつけろ！"
06DE  dialogtxt       "この辺で急にでっかくなるはぐれの"
0702  dialogtxt       "大群に人がおそわれたんだ！"
0720  code047b        
0722  code0309        
0724  call            0x29dc
0728  code0478        1, 9
0736  code0479        1, 2, 12
074A  code047d        1, 108
0758  call            0x2a76
075C  call            0x2a12
0760  dialogtxt       "ああ、そいつらだったら今"
077C  dialogtxt       "アタシたちがたおしたヤツかも…"
079E  dialogtxt       "出番がなくて、残念だったね"
07BC  code047b        
07BE  code0309        
07C0  call            0x2a48
07C4  code0479        0, 4, 12
07D8  call            0x29a6
07DC  dialogtxt       "じゃあさっきのは、ねえさんたちが"
0800  dialogtxt       "やりあってた音か…"
0816  dialogtxt       "ならオレの出番がなくても仕方ないな"
083C  code0309        
083E  code0479        0, 0, 16
0852  dialogtxt       "だが、それで残念なのはオレじゃなくて"
087A  dialogtxt       "ねえさんたちの方だぜ"
0892  dialogtxt       "なぜならば…"
08A2  code0309        
08A4  code0479        0, 2, 13
08B8  dialogtxt       "オレのカレイな戦いが"
08D0  dialogtxt       "見られなかったんだからな"
08EC  code0309        
08EE  call            0x29dc
08F2  code0479        1, 4, 12
0906  call            0x2a12
090A  dialogtxt       "はいはい"
0916  code0309        
0918  call            0x2ae2
091C  call            0x2a30
0920  code047b        
0922  code043c        7, 1
0930  code047d        1, 120
093E  code0301        8, 7
094C  code047e        1, 1
095A  dialogtxt       "オレたちの仕事が"
096E  dialogtxt       "なくなっちまったな…"
0986  dialogtxt       "ひとまわりしてから戻るか"
09A2  code0309        
09A4  code047e        1, 0
09B2  code0302        7
09BA  code047d        1, 120
09C8  code0301        8, 7
09D6  code047e        1, 1
09E4  dialogtxt       "約束通りあとのことは"
09FC  dialogtxt       "ジェイドにまかせるぞ"
0A14  code0309        
0A16  code047e        1, 0
0A24  code0302        7
0A2C  code0478        0, 10
0A3A  code0479        0, 0, 13
0A4E  code047d        0, 132
0A5C  call            0x2a60
0A60  call            0x2988
0A64  dialogtxt       "わかったっス"
0A74  dialogtxt       "まかせといてください"
0A8C  code047b        
0A8E  code0309        
0A90  call            0x2ab6
0A94  call            0x29c4
0A98  code047b        
0A9A  code043e        8, 6, 0
0AAE  walkto          8, 136, 112, 1
0AC8  code040d        10
0AD0  code043e        9, 6, 0
0AE4  walkto          9, 140, 192, 1
0AFE  walkwait        9
0B06  walkto          9, 140, 112, 1
0B20  code043c        6, 3
0B2E  code043c        5, 3
0B3C  code040d        30
0B44  code043c        7, 4
0B52  code0478        1, 11
0B60  code0479        1, 0, 12
0B74  code047d        1, 109
0B82  call            0x2a8c
0B86  call            0x2a12
0B8A  dialogtxt       "そういえば"
0B98  dialogtxt       "はぐれ召喚獣退治は"
0BAE  dialogtxt       "ジェイドの仕事だったのね"
0BCA  code047b        
0BCC  code0309        
0BCE  call            0x2a48
0BD2  code0479        0, 0, 16
0BE6  call            0x29a6
0BEA  dialogtxt       "ああ、オレは町の自警団に入っててな"
0C10  dialogtxt       "この辺に出るはぐれをたおすのも"
0C32  dialogtxt       "オレの仕事なんだ"
0C46  code0309        
0C48  call            0x2ae2
0C4C  call            0x29c4
0C50  code047b        
0C52  code0333        2, 30
0C60  code043c        4, 1
0C6E  code040d        5
0C76  code0445        4, 4
0C84  code0446        4
0C8C  code040d        5
0C94  code0334        
0C96  code0331        28, 256
0CA4  code033b        396, 0, 0, 0, 1, 0
0CCA  code0479        1, 3, 12
0CDE  call            0x2a76
0CE2  call            0x2a12
0CE6  dialogtxt       "きたわ…！"
0CF4  dialogtxt       "いける…！"
0D02  code047b        
0D04  code0309        
0D06  call            0x2a48
0D0A  code0478        0, 2
0D18  jumpz           0x0d40, ($b003 == 0)
0D28  code0479        0, 5, 12
0D3C  goto            0x0da8

0D40  jumpz           0x0d68, ($b003 == 1)
0D50  code0479        0, 3, 15
0D64  goto            0x0da8

0D68  jumpz           0x0d90, ($b003 == 2)
0D78  code0479        0, 3, 14
0D8C  goto            0x0da8

0D90  code0479        0, 2, 14
0DA4  goto            0x0da8

0DA8  code047d        0, 2
0DB6  call            0x2a60
0DBA  call            0x29a6
0DBE  jumpz           0x0dfe, ($b003 == 0)
0DCE  dialogtxt       "てぃえサンノ　体温ガ"
0DE6  dialogtxt       "上昇シテイマス！"
0DFA  goto            0x0dfe

0DFE  jumpz           0x0e1e, ($b003 == 1)
0E0E  dialogtxt       "殺気！？"
0E1A  goto            0x0e1e

0E1E  jumpz           0x0e54, ($b003 == 2)
0E2E  dialogtxt       "こいつ…"
0E3A  dialogtxt       "魂がかがやきだした"
0E50  goto            0x0e54

0E54  jumpz           0x0e8a, ($b003 == 3)
0E64  dialogtxt       "う…！"
0E6E  dialogtxt       "イヤ予感がしますわ…"
0E86  goto            0x0e8a

0E8A  code0309        
0E8C  call            0x2ab6
0E90  call            0x29dc
